name,institution,homepage,scholarid,region,countryabbrv,Gender
Zhiqiang Xu,MBZUAI,https://mbzuai.ac.ae/study/faculty/zhiqiang-xu,5SZ4NjAAAAAJ,asia,ae,unknown
Abe Davis,Cornell University,http://abedavis.com,Gp8ghkAAAAJ,america,us,male
Adrian Sampson,Cornell University,http://adriansampson.net,Bq50aCUAAAAJ,america,us,male
Alexander M. Rush [Tech],Cornell University,http://rush.seas.harvard.edu,LIjnUGgAAAAJ,america,us,male
Alexandra Silva 0001,Cornell University,http://www.cs.ucl.ac.uk/people/A.Silva.html,Vgu38TgAAAAJ,america,us,female
Alon Keinan,Cornell University,http://keinanlab.cb.bscb.cornell.edu,rS0EX5EAAAAJ,america,us,male
Andrew C. Myers,Cornell University,http://www.cs.cornell.edu/andru,ovlpa_IAAAAJ,america,us,male
Andrew Clifford Myers,Cornell University,http://www.cs.cornell.edu/andru,ovlpa_IAAAAJ,america,us,male
Anil Damle,Cornell University,https://www.cs.cornell.edu/~damle,VqOc5C8AAAAJ,america,us,male
Ari Juels [Tech],Cornell University,http://tech.cornell.edu/people/ari-juels,uf0D-uoAAAAJ,america,us,male
Arpita Ghosh,Cornell University,http://www.arpitaghosh.com,_cMw1IUAAAAJ,america,us,female
Austin R. Benson,Cornell University,https://www.cs.cornell.edu/~arb,BzOqNoQAAAAJ,america,us,male
Bart Selman,Cornell University,http://www.cs.cornell.edu/selman,pJ28HA0AAAAJ,america,us,male
Bharath Hariharan,Cornell University,http://home.bharathh.info,TpglobcAAAAJ,america,us,unknown
Carla P. Gomes,Cornell University,http://www.cs.cornell.edu/gomes,3hdbdBoAAAAJ,america,us,female
Charles F. Van Loan,Cornell University,http://www.cs.cornell.edu/cv,N7sfFpcAAAAJ,america,us,male
Charles Van Loan,Cornell University,http://www.cs.cornell.edu/cv,N7sfFpcAAAAJ,america,us,male
Cheng Zhang 0011,Cornell University,https://infosci.cornell.edu/content/zhang-0,NOSCHOLARPAGE,america,us,andy
Chris De Sa,Cornell University,http://www.cs.cornell.edu/~cdesa,v7EjGHkAAAAJ,america,us,mostly_male
Christopher Batten,Cornell University,http://www.csl.cornell.edu/~cbatten,sHu62agAAAAJ,america,us,male
Christopher De Sa,Cornell University,http://www.cs.cornell.edu/~cdesa,v7EjGHkAAAAJ,america,us,male
Claire Cardie,Cornell University,http://www.cs.cornell.edu/home/cardie,ex9BQiIAAAAJ,america,us,female
Cristian Danescu-Niculescu-Mizil,Cornell University,http://www.cs.cornell.edu/~cristian,njczUPMAAAAJ,america,us,male
Daniel D. Lee [Tech],Cornell University,http://www.seas.upenn.edu/~ddlee,NOSCHOLARPAGE,america,us,male
David B. Shmoys,Cornell University,https://people.orie.cornell.edu/shmoys,rD8a4hQAAAAJ,america,us,male
David Bindel,Cornell University,http://www.cs.cornell.edu/~bindel,04TuVhEAAAAJ,america,us,male
David H. Albonesi,Cornell University,http://www.csl.cornell.edu/~albonesi,NOSCHOLARPAGE,america,us,male
David M. Mimno,Cornell University,https://mimno.infosci.cornell.edu,uBFV6SUAAAAJ,america,us,male
David Mimno,Cornell University,https://mimno.infosci.cornell.edu,uBFV6SUAAAAJ,america,us,male
David P. Williamson,Cornell University,http://www.orie.cornell.edu/people/profile.cfm?netid=dw36,pOd2M64AAAAJ,america,us,male
David S. Bindel,Cornell University,http://www.cs.cornell.edu/~bindel,04TuVhEAAAAJ,america,us,male
Deborah Estrin [Tech],Cornell University,http://tech.cornell.edu/people/deborah-estrin,3_WYcR4AAAAJ,america,us,female
Dexter Campbell Kozen,Cornell University,http://www.cs.cornell.edu/~kozen,LV1qWjgAAAAJ,america,us,male
Dexter Kozen,Cornell University,http://www.cs.cornell.edu/~kozen,LV1qWjgAAAAJ,america,us,male
Donald Greenberg,Cornell University,http://aap.cornell.edu/people/donald-greenberg,NOSCHOLARPAGE,america,us,male
Donald P. Greenberg,Cornell University,http://aap.cornell.edu/people/donald-greenberg,NOSCHOLARPAGE,america,us,male
Erik Andersen,Cornell University,http://www.cs.cornell.edu/~eland,iDMvmEYAAAAJ,america,us,male
Erik Andersen 0001,Cornell University,http://www.cs.cornell.edu/~eland,iDMvmEYAAAAJ,america,us,male
Erik L. Andersen,Cornell University,http://www.cs.cornell.edu/~eland,iDMvmEYAAAAJ,america,us,male
Eshan Chattopadhyay,Cornell University,https://www.cs.cornell.edu/~eshan,NOSCHOLARPAGE,america,us,unknown
Fei Wang 0001,Cornell University,https://wcm-wanglab.github.io/index.html,FjCbjDYAAAAJ,america,us,andy
François Guimbretière,Cornell University,https://www.cs.cornell.edu/~francois,PxZT1sgAAAAJ,america,us,male
Fred B. Schneider,Cornell University,https://www.cs.cornell.edu/fbs,sxjynOsAAAAJ,america,us,male
G. Edward Suh,Cornell University,http://www.csl.cornell.edu/~suh,NOSCHOLARPAGE,america,us,unknown
Giulia Guidi,Cornell University,https://giuliaguidi.github.io,UZLC4TYAAAAJ,america,us,female
Gookwon Edward Suh,Cornell University,http://www.csl.cornell.edu/~suh,NOSCHOLARPAGE,america,us,unknown
Greg Morrisett [Tech],Cornell University,http://www.cs.cornell.edu/~jgm,Dswus94AAAAJ,america,us,male
Guy Hoffman,Cornell University,http://guyhoffman.com,ZocLOAMAAAAJ,america,us,male
Hadas Kress-Gazit,Cornell University,https://www.mae.cornell.edu/people/profile.cfm?netid=hk478,duOys3YAAAAJ,america,us,female
Hakim Weatherspoon,Cornell University,http://www.cs.cornell.edu/~hweather,0zrqo3B-66wC,america,us,male
Haym Hirsh,Cornell University,https://www.cs.cornell.edu/~hirsh,lB6jgT4AAAAJ,america,us,unknown
Helen Nissenbaum [Tech],Cornell University,https://nissenbaum.tech.cornell.edu,NOSCHOLARPAGE,america,us,female
Immanuel Trummer,Cornell University,http://as.cornell.edu/immanuel-trummer,FJ7im7AAAAAJ,america,us,male
J. Gregory Morrisett [Tech],Cornell University,http://www.cs.cornell.edu/~jgm,Dswus94AAAAJ,america,us,unknown
J. Nathan Foster,Cornell University,http://www.cs.cornell.edu/~jnfoster,AH5j40kAAAAJ,america,us,unknown
Jayadev Acharya,Cornell University,http://people.ece.cornell.edu/acharya,70vJVxcAAAAJ,america,us,unknown
Joe Halpern,Cornell University,https://www.cs.cornell.edu/home/halpern,FsBCAfgAAAAJ,america,us,male
John E. Hopcroft,Cornell University,http://www.cs.cornell.edu/jeh,NOSCHOLARPAGE,america,us,male
Jon M. Kleinberg,Cornell University,https://www.cs.cornell.edu/home/kleinber,VX7d5EQAAAAJ,america,us,male
Joseph Y. Halpern,Cornell University,https://www.cs.cornell.edu/home/halpern,FsBCAfgAAAAJ,america,us,male
José F. Martínez,Cornell University,http://www.csl.cornell.edu/~martinez,f1CZknQAAAAJ,america,us,male
Justin Hsu,Cornell University,https://justinh.su,HsfKE0sAAAAJ,america,us,male
Karthik Sridharan,Cornell University,http://www.cs.cornell.edu/~sridharan,nX9D5AoAAAAJ,america,us,male
Kavita Bala,Cornell University,http://www.cs.cornell.edu/~kb,Rh16nsIAAAAJ,america,us,female
Ken Birman,Cornell University,http://www.cs.cornell.edu/ken,I-rKkyEAAAAJ,america,us,male
Kenneth P. Birman,Cornell University,http://www.cs.cornell.edu/ken,I-rKkyEAAAAJ,america,us,male
Kilian Q. Weinberger,Cornell University,http://www.cs.cornell.edu/~kilian,jsxk8vsAAAAJ,america,us,male
Kirstin Peterson,Cornell University,https://www.ece.cornell.edu/people/profile.cfm?netid=khp37,ESJILIEAAAAJ,america,us,female
Lillian Lee,Cornell University,http://www.cs.cornell.edu/home/llee,oJESe-cAAAAJ,america,us,female
Lorenzo Alvisi,Cornell University,http://www.cs.utexas.edu/~lorenzo,K_-KJi8AAAAJ,america,us,male
Madeleine Udell,Cornell University,https://people.orie.cornell.edu/mru8,tZ9pEDMAAAAJ,america,us,female
Malte F. Jung,Cornell University,http://infosci.cornell.edu/faculty/malte-jung,pfBh4zEAAAAJ,america,us,male
Malte Jung,Cornell University,http://infosci.cornell.edu/faculty/malte-jung,pfBh4zEAAAAJ,america,us,male
Marten van Schijndel,Cornell University,https://vansky.github.io,AtmDLewAAAAJ,america,us,male
Martha E. Pollack,Cornell University,https://infosci.cornell.edu/content/pollack,5oU0wxcAAAAJ,america,us,female
Mor Naaman [Tech],Cornell University,http://infosci.cornell.edu/faculty/mor-naaman,IeqjwlIAAAAJ,america,us,male
Nate Foster,Cornell University,http://www.cs.cornell.edu/~jnfoster,AH5j40kAAAAJ,america,us,female
Nathan Kallus [Tech],Cornell University,https://nathankallus.com,K2WfIlsAAAAJ,america,us,male
Nicola Dell [Tech],Cornell University,http://nixdell.com,Gb5dtYwAAAAJ,america,us,female
Nicola Lee Dell [Tech],Cornell University,http://nixdell.com,Gb5dtYwAAAAJ,america,us,female
Noah Snavely [Tech],Cornell University,http://www.cs.cornell.edu/~snavely,Db4BCX8AAAAJ,america,us,male
Noah Stephens-Davidowitz,Cornell University,http://www.noahsd.com,CmAC8DMAAAAJ,america,us,male
Owolabi Legunsen,Cornell University,https://www.cs.cornell.edu/~legunsen,Cmn6vXsAAAAJ,america,us,unknown
Phoebe Sengers,Cornell University,http://www.cs.cornell.edu/people/sengers,6c5cf1wAAAAJ,america,us,female
Rachit Agarwal 0001,Cornell University,http://www.cs.cornell.edu/~ragarwal,0YTyPHoAAAAJ,america,us,unknown
Rafael Pass [Tech],Cornell University,http://www.cs.cornell.edu/~rafael,NOSCHOLARPAGE,america,us,male
Rajalakshmi Nandakumar [Tech],Cornell University,https://tech.cornell.edu/people/rajalakshmi-nandakumar,CO4txjAAAAAJ,america,us,unknown
Ramin Zabih [Tech],Cornell University,http://www.cs.cornell.edu/rdz,8Lp0W54AAAAJ,america,us,male
Robbert van Renesse,Cornell University,https://www.cs.cornell.edu/home/rvr,uJbM58UAAAAJ,america,us,male
Robert D. Kleinberg,Cornell University,http://www.cs.cornell.edu/~rdk,zkvW8FQAAAAJ,america,us,male
Robert Kleinberg,Cornell University,http://www.cs.cornell.edu/~rdk,zkvW8FQAAAAJ,america,us,male
Robert L. Constable,Cornell University,http://www.cs.cornell.edu/home/rc,NOSCHOLARPAGE,america,us,male
Ron Brachman,Cornell University,http://brachman.org,NOSCHOLARPAGE,america,us,male
Ron Brachman [Tech],Cornell University,http://brachman.org,NOSCHOLARPAGE,america,us,male
Ronald J. Brachman,Cornell University,http://brachman.org,NOSCHOLARPAGE,america,us,male
Shiri Azenkot [Tech],Cornell University,https://tech.cornell.edu/people/shiri-azenkot,jNQlAkoAAAAJ,america,us,unknown
Siddhartha Banerjee,Cornell University,https://people.orie.cornell.edu/sbanerjee,_kqpoHIAAAAJ,america,us,unknown
Stephen R. Marschner,Cornell University,http://www.cs.cornell.edu/~srm,llo3F3QAAAAJ,america,us,male
Steve Marschner,Cornell University,http://www.cs.cornell.edu/~srm,llo3F3QAAAAJ,america,us,male
Tanzeem Choudhury [Tech],Cornell University,http://www.cs.cornell.edu/~tanzeem,NOSCHOLARPAGE,america,us,unknown
Tapomayukh Bhattacharjee,Cornell University,http://www.tapomayukh.com,X1zsXTgAAAAJ,america,us,unknown
Thomas Ristenpart [Tech],Cornell University,http://tech.cornell.edu/people/thomas-ristenpart,MGVrVSIAAAAJ,america,us,male
Thorsten Joachims,Cornell University,http://www.cs.cornell.edu/people/tj,5tk1PV8AAAAJ,america,us,male
Tsu-Han Chen,Cornell University,https://www.ece.cornell.edu/people/profile.cfm?netid=tc345,NOSCHOLARPAGE,america,us,unknown
Vitaly Shmatikov [Tech],Cornell University,https://www.cs.cornell.edu/~shmat,NOSCHOLARPAGE,america,us,male
Volodymyr Kuleshov [Tech],Cornell University,http://web.stanford.edu/~kuleshov,NOSCHOLARPAGE,america,us,male
Wen Sun 0002,Cornell University,https://wensun.github.io,iOLC30YAAAAJ,america,us,andy
Yoav Artzi [Tech],Cornell University,http://yoavartzi.com,XuQW7ogAAAAJ,america,us,male
Zhiru Zhang,Cornell University,http://www.csl.cornell.edu/~zhiruz,x05pUHsAAAAJ,america,us,unknown
Éva Tardos,Cornell University,http://www.cs.cornell.edu/~eva,h6jljQQAAAAJ,america,us,female
Abedelaziz Mohaisen,University of Central Florida,http://cs.ucf.edu/~mohaisen,q387AywAAAAJ,america,us,unknown
Abhijit Mahalanobis,University of Central Florida,https://www.crcv.ucf.edu/person/abhijit-mahalanobis,L9Y5FbwAAAAJ,america,us,unknown
Ali Orooji,University of Central Florida,https://www.cecs.ucf.edu/faculty/ali-orooji,NOSCHOLARPAGE,america,us,male
Annie S. Wu,University of Central Florida,http://www.cs.ucf.edu/~aswu,Gona8sYAAAAJ,america,us,female
Avelino J. Gonzalez,University of Central Florida,http://www.cecs.ucf.edu/faculty/avelino-gonzalez,NOSCHOLARPAGE,america,us,male
Aziz Mohaisen,University of Central Florida,http://cs.ucf.edu/~mohaisen,q387AywAAAAJ,america,us,male
Carolina Cruz-Neira,University of Central Florida,https://www.cs.ucf.edu/person/carolina-cruz-neira,7oDeTpkAAAAJ,america,us,female
Charles E. Hughes,University of Central Florida,http://www.cs.ucf.edu/~ceh,pbb9CG4AAAAJ,america,us,male
Charlie E. Hughes,University of Central Florida,http://www.cs.ucf.edu/~ceh,pbb9CG4AAAAJ,america,us,mostly_male
Chen Chen 0001,University of Central Florida,https://www.crcv.ucf.edu/chenchen,TuEwcZ0AAAAJ,america,us,andy
Chinwendu Enyioha,University of Central Florida,https://cenyioha.eecs.ucf.edu,NOSCHOLARPAGE,america,us,unknown
Cliff C. Zou,University of Central Florida,http://www.cs.ucf.edu/~czou,bfK_0uwAAAAJ,america,us,male
Cliff Changchun Zou,University of Central Florida,http://www.cs.ucf.edu/~czou,bfK_0uwAAAAJ,america,us,male
Damian Dechev,University of Central Florida,http://cse.eecs.ucf.edu/bios/damiandechev.html,NOSCHOLARPAGE,america,us,male
Damla Turgut,University of Central Florida,http://www.cs.ucf.edu/~turgut,bjX4jCkAAAAJ,america,us,female
Dan C. Marinescu,University of Central Florida,https://www.cs.ucf.edu/~dcm,YoLdEIIAAAAJ,america,us,male
David A. Mohaisen,University of Central Florida,http://cs.ucf.edu/~mohaisen,q387AywAAAAJ,america,us,male
David Mohaisen,University of Central Florida,http://cs.ucf.edu/~mohaisen,q387AywAAAAJ,america,us,male
Dexter Hadley,University of Central Florida,https://med.ucf.edu/person/dexter-hadley-md-phd-m-s-e,2o8ORCAAAAAJ,america,us,male
Dirk Reiners,University of Central Florida,https://www.cs.ucf.edu/person/dirk-reiners,LQaMP7IAAAAJ,america,us,male
Elaine J. Weyuker,University of Central Florida,https://www.cs.ucf.edu/person/elaine-weyuker,xXjQoLIAAAAJ,america,us,female
Fan Yao,University of Central Florida,http://fan-yao.com,07_GV5oAAAAJ,america,us,andy
Fei Liu 0004,University of Central Florida,http://www.cs.ucf.edu/~feiliu,22ohn6AAAAAJ,america,us,andy
Gary T. Leavens,University of Central Florida,http://www.cs.ucf.edu/~leavens/homepage.html,NuVArIYAAAAJ,america,us,male
George K. Atia,University of Central Florida,http://eecs.ucf.edu/~atia,E_8axWQAAAAJ,america,us,male
Gita Reese Sukthankar,University of Central Florida,http://www.eecs.ucf.edu/~gitars,087P6LMAAAAJ,america,us,female
Gita Sukthankar,University of Central Florida,http://www.eecs.ucf.edu/~gitars,087P6LMAAAAJ,america,us,female
Greg Welch,University of Central Florida,https://sreal.ucf.edu/people/welch,9rHaWCYAAAAJ,america,us,male
Gregory F. Welch,University of Central Florida,https://sreal.ucf.edu/people/welch,9rHaWCYAAAAJ,america,us,male
Guo-Jun Qi,University of Central Florida,http://www.cs.ucf.edu/~gqi,Nut-uvoAAAAJ,america,us,andy
Guojun Qi,University of Central Florida,http://www.cs.ucf.edu/~gqi,Nut-uvoAAAAJ,america,us,unknown
Haiyan Hu,University of Central Florida,http://www.cs.ucf.edu/~haihu,NOSCHOLARPAGE,america,us,unknown
Hao Zheng 0005,University of Central Florida,http://haozheng.us,NOSCHOLARPAGE,america,us,andy
Hassan Foroosh,University of Central Florida,http://www.cs.ucf.edu/~foroosh,vNHN42cAAAAJ,america,us,male
Issa Batarseh,University of Central Florida,http://www.cecs.ucf.edu/faculty/issa-batarseh,xl0jn_IAAAAJ,america,us,male
Ivan Garibay,University of Central Florida,https://www.cs.ucf.edu/~garibay,rPuLfoMAAAAJ,america,us,male
Ivan I. Garibay,University of Central Florida,https://www.cs.ucf.edu/~garibay,rPuLfoMAAAAJ,america,us,male
James K. Baker,University of Central Florida,https://www.cs.ucf.edu/person/james-baker,NOSCHOLARPAGE,america,us,male
Jiann-Shiun Yuan,University of Central Florida,https://sites.google.com/site/yuanjs168,b-C_s6gAAAAJ,america,us,unknown
Jiann-Shuin Yuan,University of Central Florida,https://sites.google.com/site/yuanjs168,b-C_s6gAAAAJ,america,us,unknown
Joe LaViola,University of Central Florida,https://www.cs.ucf.edu/~jjl,kXZaMu8AAAAJ,america,us,male
Johnathan Mell,University of Central Florida,https://jtmell.com,VoRlLBMAAAAJ,america,us,male
Joseph J. LaViola,University of Central Florida,https://www.cs.ucf.edu/~jjl,kXZaMu8AAAAJ,america,us,male
Joseph J. LaViola Jr.,University of Central Florida,https://www.cs.ucf.edu/~jjl,kXZaMu8AAAAJ,america,us,male
Joseph T. Kider Jr.,University of Central Florida,https://www.josephkider.com,uQxgKlwAAAAJ,america,us,male
Jun Wang 0001,University of Central Florida,http://www.cass.eecs.ucf.edu/?page_id=1249,wYNgwnMAAAAJ,america,us,mostly_male
Kien A. Hua,University of Central Florida,https://dsg.cs.ucf.edu,EjLI14IAAAAJ,america,us,mostly_male
Ladislau Bölöni,University of Central Florida,http://www.cs.ucf.edu/~lboloni,drG1_tsAAAAJ,america,us,male
Liqiang Wang,University of Central Florida,http://www.cs.ucf.edu/~lwang/index.html,mZKxB10AAAAJ,america,us,unknown
Mark A. Heinrich,University of Central Florida,http://www.cs.ucf.edu/~heinrich,ENsrFlsAAAAJ,america,us,male
Mary Jean Amon,University of Central Florida,https://www.ist.ucf.edu/People/IST-Mary-Jean-Amon,1OBLAFoAAAAJ,america,us,mostly_female
Mostafa A. Bassiouni,University of Central Florida,http://www.cs.ucf.edu/~bassi,NOSCHOLARPAGE,america,us,male
Mubarak Shah,University of Central Florida,https://www.crcv.ucf.edu/person/mubarak-shah,p8gsO3gAAAAJ,america,us,male
Murat Yuksel,University of Central Florida,http://www.ece.ucf.edu/~yuksem,2Jk34E8AAAAJ,america,us,male
Narsingh Deo,University of Central Florida,http://www.cs.ucf.edu/~deo,2uiQgfMAAAAJ,america,us,unknown
Nazanin Rahnavard,University of Central Florida,http://cwnlab.eecs.ucf.edu,PzgFISkAAAAJ,america,us,female
Niels da Vitoria Lobo,University of Central Florida,https://www.crcv.ucf.edu/person/niels-lobo,hjzQhbgAAAAJ,america,us,male
Paul Gazzillo,University of Central Florida,https://paulgazzillo.com,Ywp0CG8AAAAJ,america,us,male
Qian Lou,University of Central Florida,https://qlou.org,SBYgXLoAAAAJ,america,us,andy
Qun Zhou,University of Central Florida,https://www.ece.ucf.edu/sidal,10gQjv4AAAAJ,america,us,andy
Ratan Guha,University of Central Florida,http://www.cs.ucf.edu/~guha,NOSCHOLARPAGE,america,us,male
Ratan K. Guha,University of Central Florida,http://www.cs.ucf.edu/~guha,NOSCHOLARPAGE,america,us,male
Rickard Ewetz,University of Central Florida,http://www.ece.ucf.edu/~ewetz,h_RaG-8AAAAJ,america,us,male
Roger Azevedo,University of Central Florida,https://www.ist.ucf.edu/People/Roger-Azevedo,gAFP2yQAAAAJ,america,us,male
Ronald D. Dutton,University of Central Florida,http://www.cs.ucf.edu/~dutton,NOSCHOLARPAGE,america,us,male
Ronald F. DeMara,University of Central Florida,http://cal.ucf.edu,jZpJNhoAAAAJ,america,us,male
Ryan P. McMahan,University of Central Florida,https://ryanmcmahan.com,inGtCcMAAAAJ,america,us,mostly_male
Shaojie Zhang,University of Central Florida,http://www.cs.ucf.edu/~shzhang,V-zvBOgAAAAJ,america,us,unknown
Sharma V. Thankachan,University of Central Florida,http://www.cs.ucf.edu/~sharma,pwdQAPEAAAAJ,america,us,unknown
Shibu Yooseph,University of Central Florida,http://www.cs.ucf.edu/~syooseph,OJKibFgAAAAJ,america,us,unknown
Sumanta N. Pattanaik,University of Central Florida,http://www.cs.ucf.edu/~sumant,e2tGEjUAAAAJ,america,us,unknown
Wei Zhang 0076,University of Central Florida,https://www.cs.ucf.edu/~wzhang,Zcd7W2sAAAAJ,america,us,andy
Xiaoman Li,University of Central Florida,https://www.cs.ucf.edu/~xiaoman,OlCzjxAAAAAJ,america,us,unknown
Xiaoman Shawn Li,University of Central Florida,https://www.cs.ucf.edu/~xiaoman,OlCzjxAAAAAJ,america,us,unknown
Yan Solihin,University of Central Florida,https://sites.google.com/view/arpers,sUQFclgAAAAJ,america,us,male
Yanjie Fu,University of Central Florida,http://yanjiefu.com,OSArex4AAAAJ,america,us,unknown
Yao Li 0006,University of Central Florida,https://yaoliusa.weebly.com,7njgCKIAAAAJ,america,us,andy
Yaser P. Fallah,University of Central Florida,https://www.ece.ucf.edu/person/yaser-p-fallah,Pni_ugMAAAAJ,america,us,male
Yaser Pourmohammadi,University of Central Florida,https://www.ece.ucf.edu/person/yaser-p-fallah,Pni_ugMAAAAJ,america,us,male
Yaser Pourmohammadi Fallah,University of Central Florida,https://www.ece.ucf.edu/person/yaser-p-fallah,Pni_ugMAAAAJ,america,us,male
Yogesh S. Rawat,University of Central Florida,https://www.crcv.ucf.edu/person/rawat,D_JvEcwAAAAJ,america,us,male
Yogesh Singh Rawat,University of Central Florida,https://www.crcv.ucf.edu/person/rawat,D_JvEcwAAAAJ,america,us,male
Abhijit Das 0004,IIT Kharagpur,http://cse.iitkgp.ac.in/~abhij,vpWPul0AAAAJ,asia,in,unknown
Abir Das,IIT Kharagpur,http://cse.iitkgp.ac.in/~adas,L4yEk2UAAAAJ,asia,in,female
Animesh Mukherjee 0001,IIT Kharagpur,https://cse.iitkgp.ac.in/~animeshm,lf7-deEAAAAJ,asia,in,unknown
Anupam Basu,IIT Kharagpur,http://cse.iitkgp.ac.in/~debmalya/AB_website,AMidPUMAAAAJ,asia,in,male
Aritra Hazra,IIT Kharagpur,https://cse.iitkgp.ac.in/~aritrah,nYazw20AAAAJ,asia,in,unknown
Arobinda Gupta,IIT Kharagpur,http://cse.iitkgp.ac.in/~agupta,NOSCHOLARPAGE,asia,in,unknown
Ayan Chaudhury,IIT Kharagpur,https://cse.iitkgp.ac.in/~ayanc,jv9PrfgAAAAJ,asia,in,male
Bhargab B. Bhattacharya,IIT Kharagpur,https://www.isical.ac.in/~bhargab,udxFQnwAAAAJ,asia,in,unknown
Bivas Mitra,IIT Kharagpur,http://cse.iitkgp.ac.in/~bivasm,mQ57itUAAAAJ,asia,in,unknown
Chitta Mandal,IIT Kharagpur,http://cse.iitkgp.ac.in/~chitta,jkoZD_MAAAAJ,asia,in,unknown
Chittaranjan A. Mandal,IIT Kharagpur,http://cse.iitkgp.ac.in/~chitta,jkoZD_MAAAAJ,asia,in,unknown
Chittaranjan Mandal,IIT Kharagpur,http://cse.iitkgp.ac.in/~chitta/pubs,jkoZD_MAAAAJ,asia,in,unknown
Chittaranjan Mandal 0001,IIT Kharagpur,http://cse.iitkgp.ac.in/~chitta,jkoZD_MAAAAJ,asia,in,unknown
Debasis Samanta,IIT Kharagpur,https://cse.iitkgp.ac.in/~dsamanta,RctLVqcAAAAJ,asia,in,unknown
Debdeep Mukhopadhyay,IIT Kharagpur,http://cse.iitkgp.ac.in/~debdeep,2ELnl9IAAAAJ,asia,in,unknown
Dipanwita Roy Chowdhury,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~drc,F_MRaWYAAAAJ,asia,in,unknown
Indranil Sengupta 0001,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~isg,1IIL5HUAAAAJ,asia,in,unknown
Jayanta Mukherjee 0001,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~jay,NOSCHOLARPAGE,asia,in,unknown
Jayanta Mukhopadhyay,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~jay,NOSCHOLARPAGE,asia,in,unknown
K. Sreenivas Rao,IIT Kharagpur,https://cse.iitkgp.ac.in/~ksrao,TATEL2EAAAAJ,asia,in,unknown
K. Sreenivasa Rao,IIT Kharagpur,https://cse.iitkgp.ac.in/~ksrao,TATEL2EAAAAJ,asia,in,unknown
Krothapalli S. Rao,IIT Kharagpur,https://cse.iitkgp.ac.in/~ksrao,TATEL2EAAAAJ,asia,in,unknown
Krothapalli Sreenivasa Rao,IIT Kharagpur,https://cse.iitkgp.ac.in/~ksrao,TATEL2EAAAAJ,asia,in,unknown
Mainack Mondal,IIT Kharagpur,https://cse.iitkgp.ac.in/~mainack,AUllGoAAAAAJ,asia,in,unknown
Niloy Ganguly,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~niloy,hCbFmUUAAAAJ,asia,in,unknown
P. P. Chakrabarti,IIT Kharagpur,http://cse.iitkgp.ac.in/~ppchak,yq-ekN8AAAAJ,asia,in,unknown
P. P. Chakrabarti 0001,IIT Kharagpur,http://cse.iitkgp.ac.in/~ppchak,yq-ekN8AAAAJ,asia,in,unknown
Pabitra Mitra,IIT Kharagpur,http://cse.iitkgp.ac.in/~pabitra,5bXSZPYAAAAJ,asia,in,unknown
Palash Dey,IIT Kharagpur,https://cse.iitkgp.ac.in/~palash,BkDCPiIAAAAJ,asia,in,unknown
Pallab Dasgupta,IIT Kharagpur,http://cse.iitkgp.ac.in/~pallab,Pw4jS9sAAAAJ,asia,in,unknown
Partha Bhowmick,IIT Kharagpur,http://cse.iitkgp.ac.in/~pb,ExC8yMUAAAAJ,asia,in,unknown
Partha Pratim Chakrabarti,IIT Kharagpur,http://cse.iitkgp.ac.in/~ppchak,yq-ekN8AAAAJ,asia,in,unknown
Partha Pratim Das,IIT Kharagpur,http://cse.iitkgp.ac.in/~ppd,UVYRNncAAAAJ,asia,in,unknown
Pawan Goyal,IIT Kharagpur,http://cse.iitkgp.ac.in/~pawang,F14FHsIAAAAJ,asia,in,mostly_male
Pawan Goyal 0002,IIT Kharagpur,http://cse.iitkgp.ac.in/~pawang,F14FHsIAAAAJ,asia,in,mostly_male
Pralay Mitra,IIT Kharagpur,http://cse.iitkgp.ac.in/~pralay,LPzuRBUAAAAJ,asia,in,unknown
Rajat Subhra Chakraborty,IIT Kharagpur,https://sites.google.com/site/rschakraborty,ITIg9kkAAAAJ,asia,in,unknown
Rajib Mall,IIT Kharagpur,http://www.iitkgp.ac.in/department/CS/faculty/cs-rajib,dt2fhqYAAAAJ,asia,in,unknown
Rao Sreenivasa Krothapalli,IIT Kharagpur,https://cse.iitkgp.ac.in/~ksrao,TATEL2EAAAAJ,asia,in,andy
Sandip Chakraborty,IIT Kharagpur,http://cse.iitkgp.ac.in/~sandipc,dEpbTokAAAAJ,asia,in,unknown
Saptarshi Ghosh 0001,IIT Kharagpur,https://sites.google.com/site/saptarshighosh,7TmKZv0AAAAJ,asia,in,unknown
Satrajit Ghosh,IIT Kharagpur,https://satcrypt.github.io,DC6eaGYAAAAJ,asia,in,unknown
Shamik Sural,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~shamik,zmtaYLIAAAAJ,asia,in,unknown
Somak Aditya,IIT Kharagpur,https://adityasomak.github.io,2shiHpwAAAAJ,asia,in,unknown
Somindu C. Ramanna,IIT Kharagpur,https://cse.iitkgp.ac.in/~somindu,NOSCHOLARPAGE,asia,in,unknown
Soumya K. Ghosh,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~skg,wTtdGd4AAAAJ,asia,in,unknown
Soumya K. Ghosh 0001,IIT Kharagpur,http://www.facweb.iitkgp.ac.in/~skg,wTtdGd4AAAAJ,asia,in,unknown
